ID,note,heures_etudes,orientation
E81,17.17,22,Scientifique
E82,20.0,28,Scientifique
E83,5.89,10,Littéraire
E84,12.12,20,Scientifique
E85,16.91,28,Scientifique
E86,8.32,12,Littéraire
E87,5.9,6,Littéraire
E88,3.42,6,Littéraire
E89,18.11,24,Scientifique
E90,14.46,23,Scientifique
E91,14.39,22,Scientifique
E92,16.76,27,Scientifique
E93,16.12,25,Scientifique
E94,15.34,26,Scientifique
E95,10.29,19,Littéraire
E96,14.36,16,Scientifique
E97,19.26,28,Scientifique
E98,18.8,28,Scientifique
E99,12.62,17,Scientifique
E100,18.83,29,Scientifique
E101,12.27,13,Scientifique
E102,4.57,5,Littéraire
E103,14.09,19,Scientifique
E104,5.09,11,Littéraire
E105,0.91,1,Littéraire
E106,14.71,19,Scientifique
E107,5.44,3,Littéraire
E108,20.0,27,Scientifique
E109,10.48,13,Littéraire
E110,2.68,7,Littéraire
E111,8.73,12,Littéraire
E112,4.11,6,Littéraire
E113,17.1,27,Scientifique
E114,14.23,23,Scientifique
E115,9.4,9,Littéraire
E116,2.28,0,Littéraire
E117,9.87,16,Littéraire
E118,10.78,17,Littéraire
E119,9.9,13,Littéraire
E120,9.18,11,Littéraire
E121,12.16,23,Scientifique
E122,10.42,11,Littéraire
E123,12.86,13,Scientifique
E124,10.11,16,Littéraire
E125,13.42,23,Scientifique
E126,16.88,20,Scientifique
E127,13.4,17,Scientifique
E128,8.85,13,Littéraire
E129,6.92,9,Littéraire
E130,7.51,9,Littéraire
E131,17.07,26,Scientifique
E132,0.0,0,Littéraire
E133,7.84,9,Littéraire
E134,8.29,8,Littéraire
E135,8.23,10,Littéraire
E136,20.0,28,Scientifique
E137,16.84,25,Scientifique
E138,9.84,14,Littéraire
E139,2.74,5,Littéraire
E140,2.61,2,Littéraire
E141,4.77,8,Littéraire
E142,11.22,15,Littéraire
E143,10.23,13,Littéraire
E144,17.11,24,Scientifique
E145,20.0,29,Scientifique
E146,12.41,17,Scientifique
E147,6.12,7,Littéraire
E148,12.03,12,Scientifique
E149,20.0,25,Scientifique
E150,3.57,5,Littéraire
E151,1.12,0,Littéraire
E152,2.06,0,Littéraire
E153,8.22,5,Littéraire
E154,16.44,24,Scientifique
E155,11.91,14,Littéraire
E156,2.9,5,Littéraire
E157,19.14,26,Scientifique
E158,20.0,29,Scientifique
E159,7.35,7,Littéraire
E160,10.26,14,Littéraire
E161,13.46,16,Scientifique
E162,18.41,29,Scientifique
E163,2.77,7,Littéraire
E164,14.83,21,Scientifique
E165,13.94,20,Scientifique
E166,10.66,15,Littéraire
E167,6.77,2,Littéraire
E168,0.12,2,Littéraire
E169,16.5,26,Scientifique
E170,17.01,25,Scientifique
E171,7.3,7,Littéraire
E172,11.71,15,Littéraire
E173,16.71,28,Scientifique
E174,0.89,3,Littéraire
E175,13.14,24,Scientifique
E176,4.31,8,Littéraire
E177,16.63,24,Scientifique
E178,5.46,6,Littéraire
E179,16.86,27,Scientifique
E180,19.45,29,Scientifique
E181,4.77,5,Littéraire
E182,7.16,11,Littéraire
E183,4.36,2,Littéraire
E184,2.92,8,Littéraire
E185,19.3,23,Scientifique
E186,1.12,1,Littéraire
E187,16.89,28,Scientifique
E188,12.38,13,Scientifique
E189,16.72,28,Scientifique
E190,5.6,5,Littéraire
E191,13.44,18,Scientifique
E192,16.7,22,Scientifique
E193,2.65,6,Littéraire
E194,4.71,8,Littéraire
E195,19.34,21,Scientifique
E196,6.6,10,Littéraire
E197,11.88,20,Littéraire
E198,10.29,17,Littéraire
E199,15.5,26,Scientifique
E200,9.59,13,Littéraire
